UID DA TOMADA,CIDADE,MORADA,OPERADOR,CCS2 Custo €,Duração (minutos) até 130kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
LRA-00021-02,Leiria,Rua Vale de Lobos,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
LRA-00060-02,Leiria,Avenida 25 de Abril – Bairro de São Francisco,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Em uso
LRA-00079-02,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.977,46,60,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
LRA-00080-02,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.977,46,60,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
LRA-00018-02,Leiria,Rua dos Parceiros,IBD - Iberdrola,5.876,56,50,"€0,26/charge ","€0,1/min ",,CABLE,Disponível
MGR-00007-02,Marinha Grande,R. Jornal da M.nha Grande 3,KLC - Atlante,5.912,56,50,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
LRA-00014-2,Leiria,Rua da Maceira,EDP - EDP Comercial,5.913,56,50,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
MGR-00003-02,Marinha Grande,Posto de Abastecimento BP Embra,EDP - EDP Comercial,5.913,56,50,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
LRA-00032-02,Leiria,Travessa Rua das Olhalvas,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
LRA-00071-02,Leiria,Rua da Baquelite Carregal,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
LRA-00074-01,Leiria,R. Outeiro do Pomar,HRZ - Power dot,5.916,56,50,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
LRA-00061-03,Leiria,Rua da Serrada Nova,HRZ - Power dot,6.340,35,120,"€0,3/charge ","€0,09/kWh ","€0,08/min ",CABLE,Disponível
LRA-00075-01,Leiria,R. Virgílio Vieira da Cunha,HRZ - Power dot,6.340,35,100,"€0,3/charge ","€0,09/kWh ","€0,08/min ",CABLE,Disponível
LRA-00075-04,Leiria,R. Virgílio Vieira da Cunha,HRZ - Power dot,6.340,35,100,"€0,3/charge ","€0,09/kWh ","€0,08/min ",CABLE,Disponível
LRA-00075-02,Leiria,R. Virgílio Vieira da Cunha,HRZ - Power dot,6.340,35,100,"€0,3/charge ","€0,09/kWh ","€0,08/min ",CABLE,Disponível
LRA-00016-02,Leiria,Avenida da Comunidade Europeia,GLG - Galpgeste,7.000,56,50,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
LRA-00088-02,Leiria,"A1 km 125,7 (Sentido Norte/Sul)",PRP - Propel - Produto do Petróleo,8.685,56,50,"€0,2608/charge ","€0,15/min ",,CABLE,Disponível
LRA-00089-02,Leiria,"A1 km 125,7 (Sentido Sul/Norte)",PRP - Propel - Produto do Petróleo,8.685,56,50,"€0,2608/charge ","€0,15/min ",,CABLE,Em uso
LRA-00077-02,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,9.397,35,150,"€0,297/charge ","€0,26/min ",,CABLE,Disponível
LRA-00037-1,Leiria,Rua da Europa,KLC - Atlante,11.961,117,24,"€0,2609/charge ","€0,1/min ",,CABLE,Disponível
LRA-00038-1,Leiria,Rua da Europa,KLC - Atlante,11.961,117,24,"€0,2609/charge ","€0,1/min ",,CABLE,Disponível
LRA-00039-1,Leiria,Rua da Europa,KLC - Atlante,11.961,117,24,"€0,2609/charge ","€0,1/min ",,CABLE,Disponível
LRA-00087-01,Leiria,Rua do Alto Vieiro,GLP - Galp,13.100,46,60,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
LRA-00087-02,Leiria,Rua do Alto Vieiro,GLP - Galp,13.100,46,60,"€0,5/charge ","€0,35/kWh ",€0/min ,CABLE,Disponível
LRA-00028-1,Leiria,Área de Serviço CEPSA A1 Leiria S-N,ION - IONITY,18.436,35,350,"€0,5121/kWh ",,,CABLE,Disponível
LRA-00030-1,Leiria,Área de Serviço CEPSA A1 Leiria N-S,ION - IONITY,18.436,35,350,"€0,5121/kWh ",,,CABLE,Disponível
LRA-00031-1,Leiria,Área de Serviço CEPSA A1 Leiria N-S,ION - IONITY,18.436,35,350,"€0,5121/kWh ",,,CABLE,Disponível
LRA-00063-1,Leiria,"Área de Serviço CEPSA A1 Leiria S-N, PK. 11",ION - IONITY,18.436,35,350,"€0,5121/kWh ",,,CABLE,Disponível
LRA-00067-1,Leiria,Área de Serviço CEPSA A1 Leiria N-S,ION - IONITY,18.436,35,350,"€0,5121/kWh ",,,CABLE,Disponível
LRA-00070-1,Leiria,Área de Serviço CEPSA A1 Leiria N-S,ION - IONITY,18.436,35,350,"€0,5121/kWh ",,,CABLE,Disponível
