UID DA TOMADA,CIDADE,MORADA,OPERADOR,TYPE2 7kW Custo €,Duração (minutos) até 7kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
LRA-90006-1,Leiria,Avenida Heróis de Angola,HRZ - Power dot,2.160,583,37,"€0,0037/min ",,,SOCKET,Disponível
LRA-90006-3,Leiria,Avenida Heróis de Angola,HRZ - Power dot,2.160,583,37,"€0,0037/min ",,,SOCKET,Disponível
LRA-90006-4,Leiria,Avenida Heróis de Angola,HRZ - Power dot,2.160,583,37,"€0,0037/min ",,,SOCKET,Disponível
LRA-90006-2,Leiria,Avenida Heróis de Angola,HRZ - Power dot,2.160,583,37,"€0,0037/min ",,,SOCKET,Disponível
LRA-90003-2,Leiria,Rua Olimpio Duarte Alves,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
LRA-90003-1,Leiria,Rua Olimpio Duarte Alves,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Em uso
LRA-90009-02,Leiria,Rua Luís Silveira Charters Azevedo,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Em uso
LRA-90009-01,Leiria,Rua Luís Silveira Charters Azevedo,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
LRA-90001-02,Leiria,Rua Francisco Clemente,HRZ - Power dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
LRA-90001-01,Leiria,Rua Francisco Clemente,HRZ - Power dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
LRA-90002-1,Leiria,Estrada da Mata,HRZ - Power dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Em uso
LRA-90002-2,Leiria,Estrada da Mata,HRZ - Power dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
LRA-90005-6,Leiria,Via do Polis Leiria,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
LRA-90005-5,Leiria,Via do Polis Leiria,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90005-1,Leiria,Via do Polis Leiria,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90005-4,Leiria,Via do Polis Leiria,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90005-3,Leiria,Via do Polis Leiria,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90005-2,Leiria,Via do Polis Leiria,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90007-2,Leiria,Largo da República,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
LRA-90007-1,Leiria,Largo da República,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
