UID DA TOMADA,CIDADE,MORADA,OPERADOR,CCS2 Custo €,TYPE2 7kW Custo €,TYPE2 22kW Custo €,Duração (minutos) até 130kW,Duração (minutos) até 7kW,Duração (minutos) até 22kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,TIPO DE TOMADA,FORMATO DA TOMADA,ESTADO DO POSTO,ESTADO DA TOMADA
LRA-90006-1,Leiria,Avenida Heróis de Angola,HRZ - Power dot,0.281,2.160,0.533,75,583,144,37,"€0,0037/min ",,,Mennekes,SOCKET,Disponível,Disponível
LRA-90006-3,Leiria,Avenida Heróis de Angola,HRZ - Power dot,0.281,2.160,0.533,75,583,144,37,"€0,0037/min ",,,Mennekes,SOCKET,Disponível,Disponível
LRA-90006-4,Leiria,Avenida Heróis de Angola,HRZ - Power dot,0.281,2.160,0.533,75,583,144,37,"€0,0037/min ",,,Mennekes,SOCKET,Disponível,Disponível
LRA-90006-2,Leiria,Avenida Heróis de Angola,HRZ - Power dot,0.281,2.160,0.533,75,583,144,37,"€0,0037/min ",,,Mennekes,SOCKET,Disponível,Disponível
LRA-90003-2,Leiria,Rua Olimpio Duarte Alves,EDP - EDP Comercial,0.304,2.335,0.576,75,583,144,37,"€0,004/min ",,,Mennekes,SOCKET,Disponível,Disponível
LRA-90003-1,Leiria,Rua Olimpio Duarte Alves,EDP - EDP Comercial,0.304,2.335,0.576,75,583,144,37,"€0,004/min ",,,Mennekes,SOCKET,Disponível,Em uso
LRA-90009-02,Leiria,Rua Luís Silveira Charters Azevedo,EDP - EDP Comercial,0.304,2.335,0.576,75,583,144,37,"€0,004/min ",,,Mennekes,SOCKET,Disponível,Em uso
LRA-90009-01,Leiria,Rua Luís Silveira Charters Azevedo,EDP - EDP Comercial,0.304,2.335,0.576,75,583,144,37,"€0,004/min ",,,Mennekes,SOCKET,Disponível,Disponível
LRA-90001-02,Leiria,Rua Francisco Clemente,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Disponível
LRA-90001-01,Leiria,Rua Francisco Clemente,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Disponível
LRA-90002-1,Leiria,Estrada da Mata,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Em uso
