"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"ABF-00006";"ABF-00006-01";"Semirrápido";"Disponível";"Albufeira";"Rua Manuel Bentes Junior";"KLC - Atlante";"Não";"Baixa Tensão Especial";"€0,2964/charge ";"€0,06/kWh ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T14:22:06.911Z"
"ABF-00006";"ABF-00006-02";"Semirrápido";"Disponível";"Albufeira";"Rua Manuel Bentes Junior";"KLC - Atlante";"Não";"Baixa Tensão Especial";"€0,2964/charge ";"€0,06/kWh ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T14:22:06.911Z"
"ABF-00008";"ABF-00008-1";"Semirrápido";"Disponível";"Albufeira";"Vila Galé Cerro Alagoa";"EDP - EDP Comercial";"Sim";"Média Tensão";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-05-11T10:53:37.722Z"
"ABF-00009";"ABF-00009-1";"Semirrápido";"Disponível";"Albufeira";"Vila Galé Cerroa Alagoa";"EDP - EDP Comercial";"Sim";"Média Tensão";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-05-11T10:54:37.222Z"
"ABF-00012";"ABF-00012-02";"Semirrápido";"Disponível";"Albufeira";"Makro Albufeira";"GLP - Galp";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T18:07:22.762Z"
"ABF-00012";"ABF-00012-01";"Semirrápido";"Disponível";"Albufeira";"Makro Albufeira";"GLP - Galp";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T18:07:22.762Z"
"ABF-00013";"ABF-00013-02";"Semirrápido";"Disponível";"Albufeira";"Makro Albufeira";"GLP - Galp";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T16:08:25.466Z"
"ABF-00013";"ABF-00013-01";"Semirrápido";"Disponível";"Albufeira";"Makro Albufeira";"GLP - Galp";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Em uso";"2023-05-11T16:08:25.466Z"
"ABF-00015";"ABF-00015-1";"Semirrápido";"Disponível";"Albufeira";"Hotel Vila Galé Atlantico";"EDP - EDP Comercial";"Sim";"Média Tensão";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-05-11T11:05:57.567Z"
"ABF-00016";"ABF-00016-01";"Rápido";"Disponível";"Albufeira";"Estrada dos Caliços";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T18:27:39.165Z"
"ABF-00016";"ABF-00016-02";"Rápido";"Disponível";"Albufeira";"Estrada dos Caliços";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"CCS";"CABLE";"50";"Disponível";"2023-05-11T18:27:39.165Z"
"ABF-00016";"ABF-00016-03";"Rápido";"Disponível";"Albufeira";"Estrada dos Caliços";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-11T18:27:39.165Z"
"ABF-00024";"ABF-00024-03";"Rápido";"Disponível";"Albufeira";"Torre da Mosqueira";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-11T17:15:04.692Z"
"ABF-00024";"ABF-00024-01";"Rápido";"Disponível";"Albufeira";"Torre da Mosqueira";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T17:15:04.692Z"
"ABF-00024";"ABF-00024-02";"Rápido";"Disponível";"Albufeira";"Torre da Mosqueira";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-11T17:15:04.692Z"
