UID DA TOMADA,CIDADE,MORADA,OPERADOR,CCS2 Custo €,Duração (minutos) até 130kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
PRT-00001-02,Porto,Avenida de França,MLT - Mobiletric,3.069,56,50,"€0,2608/charge ","€0,05/min ",,CABLE,Em uso
MTS-00001-02,Matosinhos,Largo José Santos Leça,MLT - Mobiletric,3.574,56,50,"€0,2608/charge ","€0,059/min ",,CABLE,Disponível
VNG-00016-02,Vila Nova de Gaia,Avenida Vasco da Gama,MLT - Mobiletric,3.574,56,50,"€0,2608/charge ","€0,059/min ",,CABLE,Disponível
GDM-00004-02,Gondomar,Rua da Boavista,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Em uso
GDM-00015-02,Gondomar,"Rua Dom António de Castro, 243",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
GDM-00028-02,Gondomar,"Rua Dr. Carlos Moura Guedes (UA: 276),",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
MAI-00015-02,Maia,Rua Engenheiro Frederico Ulrich,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
MAI-00019-02,Maia,"Rua Senhora da Hora, n,º 108,",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
MAI-00020-02,Maia,"Rua Avelino Francisco Pereira, nº 55",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
MTS-00007-02,Matosinhos,Rua Santos Dias,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
MTS-00035-02,Matosinhos,Rua da Bataria,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
MTS-00036-02,Matosinhos,Avenida António Domingues dos Santos,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Em uso
MTS-00105-02,Matosinhos,"Rua Eng.º António Costa Reis, 302/494",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Em uso
PRT-00049-02,Porto,Rua de Agramonte,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
PRT-00050-02,Porto,Rua Diogo Botelho,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Em uso
PRT-00091-02,Porto,Rua Diamantina,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Em uso
PRT-00096-02,Porto,Rua Professor Joaquim Bastos,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Em uso
PRT-00147-02,Porto,"Estrada da Circunvalação, n.º 13941 a 13975",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
VLG-00016-02,Valongo,"Rua Professor Joaquim Teixeira, n.º 41/71",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
VLG-00020-02,Valongo,Rua 1.º de Maio – São Vicente de Alfena,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Em uso
VNG-00062-02,Vila Nova de Gaia,Rua Doutor Francisco Sá Carneiro,KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
VNG-00071-02,Vila Nova de Gaia,"Rua Nova de Alvites, n,º 231,",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
VNG-00109-02,Vila Nova de Gaia,"Avenida dos Descobrimentos,",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
VNG-00110-02,Vila Nova de Gaia,"Av. Vasco da Gama – E.N. 222, km 5,9",KLC - Atlante,4.493,56,50,"€0,08/min ",,,CABLE,Disponível
MTS-00045-02,Matosinhos,"Av. Dr. AntÃ³nio Macedo, 196",ECI - ECOINSIDE,4.499,35,120,"€0,299/charge ","€0,12/min ",,CABLE,Disponível
MTS-00083-02,Matosinhos,R. Dr. Manuel Rodrigues de Sousa 92,KLC - Atlante,4.508,46,60,"€0,2964/charge ","€0,09/min ",,CABLE,Disponível
MTS-00084-02,Matosinhos,R. Dr. Manuel Rodrigues de Sousa 92,KLC - Atlante,4.508,46,60,"€0,2964/charge ","€0,09/min ",,CABLE,Disponível
MTS-00085-02,Matosinhos,R. Dr. Manuel Rodrigues de Sousa 92,KLC - Atlante,4.508,46,60,"€0,2964/charge ","€0,09/min ",,CABLE,Disponível
VLG-00015-02,Valongo,"Lugar Campo Barreiro, SusÃ£o, R. Dom Pedro IV",KLC - Atlante,4.508,46,60,"€0,2964/charge ","€0,09/min ",,CABLE,Disponível
PRT-00162-02,Porto,R. de O Primeiro de Janeiro,HRZ - Power dot,4.512,56,50,"€0,3/charge ","€0,075/min ",,CABLE,Disponível
PRT-00163-02,Porto,R. de O Primeiro de Janeiro,HRZ - Power dot,4.512,56,50,"€0,3/charge ","€0,075/min ",,CABLE,Disponível
PRT-00164-02,Porto,R. de Anselmo Braancamp 329,HRZ - Power dot,4.512,56,50,"€0,3/charge ","€0,075/min ",,CABLE,Em uso
PRT-00165-02,Porto,R. de Anselmo Braancamp 329,HRZ - Power dot,4.512,56,50,"€0,3/charge ","€0,075/min ",,CABLE,Disponível
PRT-00166-02,Porto,R. de Anselmo Braancamp 329,HRZ - Power dot,4.512,56,50,"€0,3/charge ","€0,075/min ",,CABLE,Disponível
PRT-00167-02,Porto,R. de Anselmo Braancamp 329,HRZ - Power dot,4.512,56,50,"€0,3/charge ","€0,075/min ",,CABLE,Disponível
GDM-00003-02,Gondomar,Rua Infante Dom Henrique,KLC - Atlante,4.789,56,50,"€0,2964/charge ","€0,08/min ",,CABLE,Disponível
GDM-00027-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,4.790,56,50,"€0,297/charge ","€0,08/min ",,CABLE,Disponível
PRT-00155-02,Porto,"Avenida Marechal Gomes da Costa, 855",KLC - Atlante,4.976,46,60,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
VLG-00010-02,Valongo,Rua da Passagem,KLC - Atlante,4.976,46,60,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
PRT-00073-02,Porto,Rua Henrique Medina,KLC - Atlante,5.054,56,50,"€0,09/min ",,,CABLE,Disponível
MAI-00021-02,Maia,Forum Maia,EDP - EDP Comercial,5.351,56,50,"€0,297/charge ","€0,09/min ",,CABLE,Disponível
PRT-00074-02,Porto,Rua Nove de Abril,EDP - EDP Comercial,5.351,56,50,"€0,297/charge ","€0,09/min ",,CABLE,Disponível
PRT-00077-02,Porto,Praça de Francisco Sá Carneiro,EDP - EDP Comercial,5.351,56,50,"€0,297/charge ","€0,09/min ",,CABLE,Disponível
PRT-00078-02,Porto,Praça de Francisco Sá Carneiro,EDP - EDP Comercial,5.351,56,50,"€0,297/charge ","€0,09/min ",,CABLE,Disponível
PRT-00079-02,Porto,Avenida Conselho da Europa,EDP - EDP Comercial,5.351,56,50,"€0,297/charge ","€0,09/min ",,CABLE,Disponível
PRT-00089-02,Porto,Rua do Jornal de Noticias,EDP - EDP Comercial,5.351,56,50,"€0,297/charge ","€0,09/min ",,CABLE,Em uso
PRT-00090-02,Porto,Rua do Jornal de Noticias,EDP - EDP Comercial,5.351,56,50,"€0,297/charge ","€0,09/min ",,CABLE,Em uso
MAI-00017-02,Maia,Rua da Fábrica,HRZ - Power dot,5.354,56,50,"€0,3/charge ","€0,09/min ",,CABLE,Disponível
VNG-00041-02,Vila Nova de Gaia,Rua Rocha Leão,HRZ - Power dot,5.354,56,50,"€0,3/charge ","€0,09/min ",,CABLE,Disponível
VNG-00042-02,Vila Nova de Gaia,Rua Rocha Leão,HRZ - Power dot,5.354,56,50,"€0,3/charge ","€0,09/min ",,CABLE,Disponível
MTS-00037-02,Matosinhos,Rua Goa 2,IBD - Iberdrola,5.484,65,43,"€0,26/charge ","€0,08/min ",,CABLE,Disponível
PRT-00134-02,Porto,RUA JOSE GOMES FERREIRA 10 LT,KLC - Atlante,5.616,56,50,"€0,1/min ",,,CABLE,Disponível
PRT-00072-1,Porto,Rua da Constituição,REP - Repsol,5.661,35,160,"€0,261/charge ","€0,15/kWh ",,CABLE,Disponível
MTS-00101-01,Matosinhos,"Rua de Goa, 2",IBD - Iberdrola,5.876,56,50,"€0,26/charge ","€0,1/min ",,CABLE,Disponível
PRT-00140-02,Porto,"Rua da Constituição, nº 2570",REP - Repsol,5.877,46,60,"€0,261/charge ","€0,12/min ",,CABLE,Fora de Serviço
PRT-00180-02,Porto,Rua de Júlio Dinis 320,REP - Repsol,5.877,46,60,"€0,261/charge ","€0,12/min ",,CABLE,Disponível
GDM-00016-02,Gondomar,"Rua de Rebordãos, 297",REP - Repsol,5.877,93,30,"€0,261/charge ","€0,06/min ",,CABLE,Disponível
MTS-00044-02,Matosinhos,Avenida da Liberdade - Prolongamento do IP4,REP - Repsol,5.877,93,30,"€0,261/charge ","€0,06/min ",,CABLE,Disponível
PRT-00152-02,Porto,"Rua Monte dos Burgos, nº 316",REP - Repsol,5.877,93,30,"€0,261/charge ","€0,06/min ",,CABLE,Disponível
VLG-00014-02,Valongo,"Rua Eng Duarte Pacheco, 731",REP - Repsol,5.877,93,30,"€0,261/charge ","€0,06/min ",,CABLE,Disponível
