UID DA TOMADA,CIDADE,MORADA,OPERADOR,TYPE2 7kW Custo €,Duração (minutos) até 7kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
VNG-90003-01,Vila Nova de Gaia,Avenida da República,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90003-03,Vila Nova de Gaia,Avenida da República,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90003-02,Vila Nova de Gaia,Avenida da República,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90003-04,Vila Nova de Gaia,Avenida da República,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90011-02,Vila Nova de Gaia,Rua Conselheiro Veloso da Cruz,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90011-01,Vila Nova de Gaia,Rua Conselheiro Veloso da Cruz,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90013-02,Vila Nova de Gaia,Avenida de Beira Mar,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90013-01,Vila Nova de Gaia,Avenida de Beira Mar,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Em uso
PRT-90082-1,Porto,Rua Duque de Loulé,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90082-4,Porto,Rua Duque de Loulé,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90082-3,Porto,Rua Duque de Loulé,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90082-2,Porto,Rua Duque de Loulé,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90085-01,Porto,Rua de Cervantes,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90085-04,Porto,Rua de Cervantes,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90085-02,Porto,Rua de Cervantes,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Em uso
PRT-90085-03,Porto,Rua de Cervantes,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90001-1,Vila Nova de Gaia,Rua das Camélias,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90001-3,Vila Nova de Gaia,Rua das Camélias,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90001-4,Vila Nova de Gaia,Rua das Camélias,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90001-2,Vila Nova de Gaia,Rua das Camélias,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90002-04,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90002-02,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90002-01,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90002-03,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-00119-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,3.261,583,22,"€0,2608/charge ","€0,05/kWh ",€0/min ,SOCKET,Disponível
PRT-00120-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,3.261,583,22,"€0,2608/charge ","€0,05/kWh ",€0/min ,SOCKET,Disponível
PRT-90081-1,Porto,Rua de Cedofeita,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
PRT-90081-3,Porto,Rua de Cedofeita,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
PRT-90081-4,Porto,Rua de Cedofeita,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Em uso
PRT-90081-2,Porto,Rua de Cedofeita,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
VNG-90005-01,Vila Nova de Gaia,Rua Barão Corvo ,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
VNG-90005-02,Vila Nova de Gaia,Rua Barão Corvo ,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
PRT-90086-2,Porto,Rua Ofélia Diogo da Costa,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
PRT-90086-1,Porto,Rua Ofélia Diogo da Costa,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
VNG-90006-01,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
VNG-90006-02,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
PRT-90080-03,Porto,Rua António Bessa Leite,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
PRT-90080-02,Porto,Rua António Bessa Leite,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
PRT-90080-04,Porto,Rua António Bessa Leite,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
PRT-90080-01,Porto,Rua António Bessa Leite,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
VNG-90009-2,Vila Nova de Gaia,Rua São Cristóvão Mafamude,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
VNG-90009-1,Vila Nova de Gaia,Rua São Cristóvão Mafamude,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
MAI-00022-03,Maia,Rua D. Maria Faria N.º 230,KLC - Atlante,6.861,583,22,"€0,2608/charge ","€0,11/kWh ",,CABLE,Disponível
VNG-00035-2,Vila Nova de Gaia,R. 28 de Janeiro,KLC - Atlante,9.053,583,22,"€0,2964/charge ","€0,015/min ",,SOCKET,Em uso
