UID DA TOMADA,CIDADE,MORADA,OPERADOR,CCS2 Custo €,TYPE2 7kW Custo €,TYPE2 22kW Custo €,Duração (minutos) até 130kW,Duração (minutos) até 7kW,Duração (minutos) até 22kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,TIPO DE TOMADA,FORMATO DA TOMADA,ESTADO DO POSTO,ESTADO DA TOMADA
SNS-00010-03,Sines,Avenida da Trindade,KLC - Atlante,4.493,46.703,11.520,56,583,144,50,"€0,08/min ",,,CHAdeMO,CABLE,Disponível,Disponível
SNS-00010-02,Sines,Avenida da Trindade,KLC - Atlante,4.493,46.703,11.520,56,583,144,50,"€0,08/min ",,,CCS,CABLE,Disponível,Disponível
SNS-00010-01,Sines,Avenida da Trindade,KLC - Atlante,5.224,46.703,11.520,65,583,144,43,"€0,08/min ",,,Mennekes,CABLE,Disponível,Disponível
SNS-00005-02,Sines,Parque Industrial de Sines,HLX - Helexia,5.877,58.639,14.661,56,583,144,50,"€0,2608/charge ","€0,1/min ",,CCS,CABLE,Disponível,Disponível
SNS-00005-01,Sines,Parque Industrial de Sines,HLX - Helexia,5.877,58.639,14.661,56,583,144,50,"€0,2608/charge ","€0,1/min ",,CHAdeMO,CABLE,Disponível,Disponível
SNS-00004-02,Sines,Rua da Floresta,EDP - EDP Comercial,5.913,58.675,14.697,56,583,144,50,"€0,297/charge ","€0,1/min ",,CCS,CABLE,Disponível,Disponível
SNS-00004-01,Sines,Rua da Floresta,EDP - EDP Comercial,5.913,58.675,14.697,56,583,144,50,"€0,297/charge ","€0,1/min ",,CHAdeMO,CABLE,Disponível,Disponível
SNS-00005-03,Sines,Parque Industrial de Sines,HLX - Helexia,6.791,58.639,14.661,65,583,144,43,"€0,2608/charge ","€0,1/min ",,Mennekes,CABLE,Disponível,Disponível
SNS-00004-03,Sines,Rua da Floresta,EDP - EDP Comercial,6.827,58.675,14.697,65,583,144,43,"€0,297/charge ","€0,1/min ",,Mennekes,CABLE,Disponível,Disponível
SNS-00003-01,Sines,Nó Rodoviário de Sines,MLT - Mobiletric,7.000,70.315,17.541,56,583,144,50,"€0,2608/charge ","€0,12/min ",,CHAdeMO,CABLE,Disponível,Disponível
SNS-00003-02,Sines,Nó Rodoviário de Sines,MLT - Mobiletric,7.000,70.315,17.541,56,583,144,50,"€0,2608/charge ","€0,12/min ",,CCS,CABLE,Disponível,Disponível
SNS-00006-02,Sines,Avenida General Humberto Delgado,GLG - Galpgeste,7.000,70.315,17.541,56,583,144,50,"€0,2608/charge ","€0,12/min ",,CCS,CABLE,Disponível,Disponível
SNS-00006-01,Sines,Avenida General Humberto Delgado,GLG - Galpgeste,7.000,70.315,17.541,56,583,144,50,"€0,2608/charge ","€0,12/min ",,CHAdeMO,CABLE,Disponível,Disponível
SNS-00008-01,Sines,"LT Municipal a Norte da R52, Lote 3",EDP - EDP Comercial,7.029,57.038,17.457,46,583,144,60,"€0,297/charge ","€0,07/kWh ","€0,09/min ",CCS,CABLE,Disponível,Disponível
SNS-00006-03,Sines,Avenida General Humberto Delgado,GLG - Galpgeste,8.097,70.315,17.541,65,583,144,43,"€0,2608/charge ","€0,12/min ",,Mennekes,CABLE,Disponível,Disponível
SNS-00008-02,Sines,"LT Municipal a Norte da R52, Lote 3",EDP - EDP Comercial,11.241,57.038,17.457,93,583,144,30,"€0,297/charge ","€0,07/kWh ","€0,09/min ",CHAdeMO,CABLE,Disponível,Disponível
SNS-00008-03,Sines,"LT Municipal a Norte da R52, Lote 3",EDP - EDP Comercial,14.304,57.038,17.457,127,583,144,22,"€0,297/charge ","€0,07/kWh ","€0,09/min ",Mennekes,SOCKET,Disponível,Em uso
