"UID DA TOMADA","CIDADE","MORADA","OPERADOR","CCS2 Custo €","TYPE2 7kW Custo €","TYPE2 22kW Custo €","Duração (minutos) até 130kW","Duração (minutos) até 7kW","Duração (minutos) até 22kW","TARIFA 1","TARIFA 2","TARIFA 3","TIPO DE TOMADA","POTÊNCIA DA TOMADA (kW)","FORMATO DA TOMADA","ESTADO DO POSTO","ESTADO DA TOMADA"
ALM-00014-1,Almada,Praia da Rainha,MOB - MOBI.E,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Em uso
ALM-00014-2,Almada,Praia da Rainha,MOB - MOBI.E,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
ALM-90007-02,Almada,Avenida Bento Gonçalves,KLC - Atlante,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
ALM-90007-01,Almada,Avenida Bento Gonçalves,KLC - Atlante,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Em uso
OBD-00004-1,Óbidos,Largo de S. Pedro,PRI - Prio,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
TND-00002-1,Tondela,Rua Doutor Amadeu Ferraz de Carvalho,MOB - MOBI.E,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
TND-00002-2,Tondela,Rua Doutor Amadeu Ferraz de Carvalho,MOB - MOBI.E,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
FUN-00035-02,Funchal,"Edifício 2000, Av. Calouste Gulbenkien",FAC - Factor Energia,"0.000","0.000","0.000","255","0","0",€0/min ,"","",Mennekes,"11",SOCKET,Disponível,Disponível
FUN-00035-01,Funchal,"Edifício 2000, Av. Calouste Gulbenkien",FAC - Factor Energia,"0.000","0.000","0.000","255","0","0",€0/min ,"","",Mennekes,"11",SOCKET,Disponível,Disponível
MLD-00001-1,Mealhada,Churrasqueira Rocha,EVC - Evce,"0.000","0.000","0.000","255","0","0",€0/min ,"","",Mennekes,"11",SOCKET,Disponível,Disponível
MLD-00001-2,Mealhada,Churrasqueira Rocha,EVC - Evce,"0.000","0.000","0.000","255","0","0",€0/min ,"","",Mennekes,"11",SOCKET,Disponível,Em uso
FUN-00006-01,Funchal,Rua Nova do Vale da Ajuda,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Em uso
FUN-00006-02,Funchal,Rua Nova do Vale da Ajuda,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00007-01,Funchal,Caminho do Poço Barral,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00007-02,Funchal,Caminho do Poço Barral,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00010-02,Funchal,Avenida das Madalenas,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00010-01,Funchal,Avenida das Madalenas,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00011-01,Funchal,Madeira Tecnopolo - Caminho da Penteada,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Em uso
FUN-00011-02,Funchal,Madeira Tecnopolo - Caminho da Penteada,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00015-02,Funchal,Rua dos Ferreiros,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Em uso
FUN-00015-01,Funchal,Rua dos Ferreiros,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00016-01,Funchal,Rua Nova da Igreja,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00016-02,Funchal,Rua Nova da Igreja,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
PMZ-00004-02,Porto Moniz,Praça do Lyra,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
PMZ-00004-01,Porto Moniz,Praça do Lyra,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",CABLE,Disponível,Disponível
PMZ-00005-01,Porto Moniz,Estrada Regional 101 - Santa,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
PMZ-00005-02,Porto Moniz,Estrada Regional 101 - Santa,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00002-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00002-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00003-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00003-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00004-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00004-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
VRL-00014-02,Vila Real,Avenida Rainha Santa Isabel,GLD - Goldenergy,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
VRL-00014-01,Vila Real,Avenida Rainha Santa Isabel,GLD - Goldenergy,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
VFX-00006-1,Vila Franca de Xira,Rua Irene Lisboa,KLC - Atlante,"0.166","0.166","0.166","390","0","0","€0,1657/charge ","","",Mennekes,"7,2",SOCKET,Disponível,Disponível
LLE-00111-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
LLE-00111-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
LLE-00112-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
LLE-00112-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
LLE-00113-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
LLE-00113-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
MTS-00078-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
MTS-00078-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
MTS-00079-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
MTS-00079-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
MTS-00080-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
MTS-00080-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
LLE-00108-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LLE-00108-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
LLE-00109-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
LLE-00109-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
MTS-00075-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
MTS-00075-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
