ID,"UID DA TOMADA","TIPO DE CARREGAMENTO","ESTADO DO POSTO",CIDADE,MORADA,OPERADOR,MOBICHARGER,"NÍVEL DE TENSÃO","TARIFA 1","TARIFA 2","TARIFA 3","TIPO DE TOMADA","FORMATO DA TOMADA","POTÊNCIA DA TOMADA (kW)","ESTADO DA TOMADA","ÚLTIMA ATUALIZAÇÃO","POTÊNCIA DA TOMADA (kW) NUMERIC",T1kWh,T2kWh,T3kWh,T1min,T2min,T3min,"ACTIVAÇÃO","€kWh","€min","Duração (minutos) até 7kW","Duração (minutos) até 22kW","Duração (minutos) até 130kW","CCS2 Custo €","TYPE2 7kW Custo €","TYPE2 22kW Custo €"
ABF-00005,ABF-00005-02,"Semirrápido","Disponível",Albufeira,"Rua do Município","KLC - Atlante","Não","Baixa Tensão Especial","€0,2964/charge ","€0,06/kWh ",,Mennekes,SOCKET,22.0,"Em uso","2023-04-30 11:28:57.940000",22,0,0.06,0,0,0,0,0.2964,0.06,0,583.783783783784,144,127.636363636364,2.4564,3.8964,3.8964
ABF-00005,ABF-00005-01,"Semirrápido","Disponível",Albufeira,"Rua do Município","KLC - Atlante","Não","Baixa Tensão Especial","€0,2964/charge ","€0,06/kWh ",,Mennekes,SOCKET,22.0,"Disponível","2023-04-30 11:28:57.940000",22,0,0.06,0,0,0,0,0.2964,0.06,0,583.783783783784,144,127.636363636364,2.4564,3.8964,3.8964
ABF-00006,ABF-00006-01,"Semirrápido","Disponível",Albufeira,"Rua Manuel Bentes Junior","KLC - Atlante","Não","Baixa Tensão Especial","€0,2964/charge ","€0,06/kWh ",,Mennekes,SOCKET,22.0,"Disponível","2023-04-29 22:20:34.742000",22,0,0.06,0,0,0,0,0.2964,0.06,0,583.783783783784,144,127.636363636364,2.4564,3.8964,3.8964
ABF-00006,ABF-00006-02,"Semirrápido","Disponível",Albufeira,"Rua Manuel Bentes Junior","KLC - Atlante","Não","Baixa Tensão Especial","€0,2964/charge ","€0,06/kWh ",,Mennekes,SOCKET,22.0,"Disponível","2023-04-29 22:20:34.742000",22,0,0.06,0,0,0,0,0.2964,0.06,0,583.783783783784,144,127.636363636364,2.4564,3.8964,3.8964
ABF-00008,ABF-00008-1,"Semirrápido","Disponível",Albufeira,"Vila Galé Cerro Alagoa","EDP - EDP Comercial",Sim,"Média Tensão","€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,74.0,"Disponível","2023-04-29 18:33:18.034000",74,0,0.06,0,0,0,0.01,0.297,0.06,0.01,583.783783783784,144,37.9459459459459,2.83645945945946,9.73483783783784,5.337
ABF-00009,ABF-00009-1,"Semirrápido","Disponível",Albufeira,"Vila Galé Cerroa Alagoa","EDP - EDP Comercial",Sim,"Média Tensão","€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,74.0,"Disponível","2023-04-29 00:29:34.803000",74,0,0.06,0,0,0,0.01,0.297,0.06,0.01,583.783783783784,144,37.9459459459459,2.83645945945946,9.73483783783784,5.337
ABF-00011,ABF-00011-01,"Semirrápido","Disponível",Albufeira,"Praia Maria Luísa","BLU - Blue Charge","Não","Baixa Tensão Especial","€0,2608/charge ","€0,04/min ",,Mennekes,SOCKET,22.0,"Disponível","2023-04-30 05:45:08.195000",22,0,0,0,0,0.04,0,0.2608,0,0.04,583.783783783784,144,127.636363636364,5.36625454545455,23.6121513513513,6.0208
ABF-00011,ABF-00011-02,"Semirrápido","Disponível",Albufeira,"Praia Maria Luísa","BLU - Blue Charge","Não","Baixa Tensão Especial","€0,2608/charge ","€0,04/min ",,Mennekes,SOCKET,22.0,"Disponível","2023-04-30 05:45:08.195000",22,0,0,0,0,0.04,0,0.2608,0,0.04,583.783783783784,144,127.636363636364,5.36625454545455,23.6121513513513,6.0208
ABF-00012,ABF-00012-02,"Semirrápido","Disponível",Albufeira,"Makro Albufeira","GLP - Galp","Não","Média Tensão","€0,2608/charge ","€0,039/min ",,Mennekes,SOCKET,22.0,"Disponível","2023-04-30 05:07:35.605000",22,0,0,0,0,0.039,0,0.2608,0,0.039,583.783783783784,144,127.636363636364,5.23861818181818,23.0283675675676,5.8768
ABF-00012,ABF-00012-01,"Semirrápido","Disponível",Albufeira,"Makro Albufeira","GLP - Galp","Não","Média Tensão","€0,2608/charge ","€0,039/min ",,Mennekes,SOCKET,22.0,"Disponível","2023-04-30 05:07:35.605000",22,0,0,0,0,0.039,0,0.2608,0,0.039,583.783783783784,144,127.636363636364,5.23861818181818,23.0283675675676,5.8768
ABF-00013,ABF-00013-02,"Semirrápido","Disponível",Albufeira,"Makro Albufeira","GLP - Galp","Não","Média Tensão","€0,2608/charge ","€0,039/min ",,Mennekes,SOCKET,22.0,"Em uso","2023-04-30 11:28:59.192000",22,0,0,0,0,0.039,0,0.2608,0,0.039,583.783783783784,144,127.636363636364,5.23861818181818,23.0283675675676,5.8768
ABF-00013,ABF-00013-01,"Semirrápido","Disponível",Albufeira,"Makro Albufeira","GLP - Galp","Não","Média Tensão","€0,2608/charge ","€0,039/min ",,Mennekes,SOCKET,22.0,"Disponível","2023-04-30 11:28:59.192000",22,0,0,0,0,0.039,0,0.2608,0,0.039,583.783783783784,144,127.636363636364,5.23861818181818,23.0283675675676,5.8768
ABF-00016,ABF-00016-01,"Rápido","Disponível",Albufeira,"Estrada dos Caliços","KLC - Atlante","Não","Média Tensão","€0,08/min ",,,CHAdeMO,CABLE,50.0,"Disponível","2023-04-30 11:19:33.620000",50,0,0,0,0.08,0,0,0,0,0.08,583.783783783784,144,56.16,4.4928,46.7027027027027,11.52
ABF-00016,ABF-00016-02,"Rápido","Disponível",Albufeira,"Estrada dos Caliços","KLC - Atlante","Não","Média Tensão","€0,08/min ",,,CCS,CABLE,50.0,"Disponível","2023-04-30 11:19:33.620000",50,0,0,0,0.08,0,0,0,0,0.08,583.783783783784,144,56.16,4.4928,46.7027027027027,11.52
ABF-00016,ABF-00016-03,"Rápido","Disponível",Albufeira,"Estrada dos Caliços","KLC - Atlante","Não","Média Tensão","€0,08/min ",,,Mennekes,CABLE,43.0,"Disponível","2023-04-30 11:19:33.620000",43,0,0,0,0.08,0,0,0,0,0.08,583.783783783784,144,65.3023255813954,5.22418604651163,46.7027027027027,11.52
ABF-00024,ABF-00024-03,"Rápido","Disponível",Albufeira,"Torre da Mosqueira","GLG - Galpgeste","Não","Baixa Tensão Especial","€0,2608/charge ","€0,12/min ",,Mennekes,CABLE,43.0,"Disponível","2023-04-30 11:14:20.377000",43,0,0,0,0,0.12,0,0.2608,0,0.12,583.783783783784,144,65.3023255813954,8.09707906976744,70.314854054054,17.5408
ABF-00024,ABF-00024-01,"Rápido","Disponível",Albufeira,"Torre da Mosqueira","GLG - Galpgeste","Não","Baixa Tensão Especial","€0,2608/charge ","€0,12/min ",,CHAdeMO,CABLE,50.0,"Disponível","2023-04-30 11:14:20.377000",50,0,0,0,0,0.12,0,0.2608,0,0.12,583.783783783784,144,56.16,7.0,70.314854054054,17.5408
ABF-00024,ABF-00024-02,"Rápido","Disponível",Albufeira,"Torre da Mosqueira","GLG - Galpgeste","Não","Baixa Tensão Especial","€0,2608/charge ","€0,12/min ",,CCS,CABLE,50.0,"Disponível","2023-04-30 11:14:20.377000",50,0,0,0,0,0.12,0,0.2608,0,0.12,583.783783783784,144,56.16,7.0,70.314854054054,17.5408
ABF-00025,ABF-00025-02,"Rápido","Disponível",Albufeira,"Zona Industrial de Vale Paraíso Albufeira","KLC - Atlante","Não","Baixa Tensão Especial","€0,2964/charge ","€0,07/kWh ",,CCS,CABLE,50.0,"Disponível","2023-04-30 08:28:30.528000",50,0,0.07,0,0,0,0,0.2964,0.07,0,583.783783783784,144,56.16,2.8164,4.4964,4.4964
ABF-00025,ABF-00025-01,"Rápido","Disponível",Albufeira,"Zona Industrial de Vale Paraíso Albufeira","KLC - Atlante","Não","Baixa Tensão Especial","€0,2964/charge ","€0,07/kWh ",,CHAdeMO,CABLE,50.0,"Disponível","2023-04-30 08:28:30.528000",50,0,0.07,0,0,0,0,0.2964,0.07,0,583.783783783784,144,56.16,2.8164,4.4964,4.4964
