"UID DA TOMADA","CIDADE","MORADA","OPERADOR","TYPE2 7kW Custo €","Duração (minutos) até 7kW","TARIFA 1","TARIFA 2","TARIFA 3","POTÊNCIA DA TOMADA (kW)","FORMATO DA TOMADA","ESTADO DA TOMADA"
ALM-00014-1,Almada,Praia da Rainha,MOB - MOBI.E,"0.000","0",€0/min ,"","","3,7",SOCKET,Em uso
ALM-00014-2,Almada,Praia da Rainha,MOB - MOBI.E,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
ALM-90007-02,Almada,Avenida Bento Gonçalves,KLC - Atlante,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
ALM-90007-01,Almada,Avenida Bento Gonçalves,KLC - Atlante,"0.000","0",€0/min ,"","","3,7",SOCKET,Em uso
FUN-00006-01,Funchal,Rua Nova do Vale da Ajuda,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Em uso
FUN-00006-02,Funchal,Rua Nova do Vale da Ajuda,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00007-01,Funchal,Caminho do Poço Barral,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00007-02,Funchal,Caminho do Poço Barral,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00010-02,Funchal,Avenida das Madalenas,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00010-01,Funchal,Avenida das Madalenas,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00011-01,Funchal,Madeira Tecnopolo - Caminho da Penteada,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Em uso
FUN-00011-02,Funchal,Madeira Tecnopolo - Caminho da Penteada,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00015-02,Funchal,Rua dos Ferreiros,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Em uso
FUN-00015-01,Funchal,Rua dos Ferreiros,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00016-01,Funchal,Rua Nova da Igreja,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00016-02,Funchal,Rua Nova da Igreja,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00035-02,Funchal,"Edifício 2000, Av. Calouste Gulbenkien",FAC - Factor Energia,"0.000","0",€0/min ,"","","11",SOCKET,Disponível
FUN-00035-01,Funchal,"Edifício 2000, Av. Calouste Gulbenkien",FAC - Factor Energia,"0.000","0",€0/min ,"","","11",SOCKET,Disponível
MLD-00001-1,Mealhada,Churrasqueira Rocha,EVC - Evce,"0.000","0",€0/min ,"","","11",SOCKET,Disponível
MLD-00001-2,Mealhada,Churrasqueira Rocha,EVC - Evce,"0.000","0",€0/min ,"","","11",SOCKET,Em uso
OBD-00004-1,Óbidos,Largo de S. Pedro,PRI - Prio,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
PMZ-00004-02,Porto Moniz,Praça do Lyra,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
PMZ-00004-01,Porto Moniz,Praça do Lyra,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",CABLE,Disponível
PMZ-00005-01,Porto Moniz,Estrada Regional 101 - Santa,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
PMZ-00005-02,Porto Moniz,Estrada Regional 101 - Santa,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00002-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00002-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00003-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00003-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00004-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00004-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
TND-00002-1,Tondela,Rua Doutor Amadeu Ferraz de Carvalho,MOB - MOBI.E,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
TND-00002-2,Tondela,Rua Doutor Amadeu Ferraz de Carvalho,MOB - MOBI.E,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
VRL-00014-02,Vila Real,Avenida Rainha Santa Isabel,GLD - Goldenergy,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
VRL-00014-01,Vila Real,Avenida Rainha Santa Isabel,GLD - Goldenergy,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
VFX-00006-1,Vila Franca de Xira,Rua Irene Lisboa,KLC - Atlante,"0.166","0","€0,1657/charge ","","","7,2",SOCKET,Disponível
LLE-00108-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Disponível
LLE-00108-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Em uso
LLE-00109-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Em uso
LLE-00109-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Disponível
LLE-00111-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Em uso
LLE-00111-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Disponível
LLE-00112-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Em uso
LLE-00112-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Disponível
LLE-00113-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Em uso
