"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"EVR-00011";"EVR-00011-02";"Rápido";"Disponível";"Évora";"Rua do Chafariz Del Rei";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,095/min ";"";"";"CCS";"CABLE";"50";"Disponível";"2023-05-28T10:31:28.325Z"
"EVR-00011";"EVR-00011-01";"Rápido";"Disponível";"Évora";"Rua do Chafariz Del Rei";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,095/min ";"";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-28T10:31:28.325Z"
"EVR-00011";"EVR-00011-03";"Rápido";"Disponível";"Évora";"Rua do Chafariz Del Rei";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,095/min ";"";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-28T10:31:28.325Z"
"EVR-00012";"EVR-00012-1";"Semirrápido";"Disponível";"Évora";"Hotel Pestana Pousada Convento Évora";"EDP - EDP Comercial";"Sim";"Baixa Tensão Especial";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,2";"Disponível";"2023-05-27T21:57:34.09Z"
"EVR-00013";"EVR-00013-1";"Semirrápido";"Disponível";"Évora";"Hotel Pestana Pousada Convento Évora";"EDP - EDP Comercial";"Sim";"Baixa Tensão Especial";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,2";"Disponível";"2023-05-26T12:11:08.099Z"
"EVR-00014";"EVR-00014-1";"Semirrápido";"Disponível";"Évora";"Hotel Vila Galé Evora";"EDP - EDP Comercial";"Sim";"Média Tensão";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-05-28T07:11:18.716Z"
"EVR-00015";"EVR-00015-1";"Semirrápido";"Disponível";"Évora";"Hotel Vila Galé Evora";"EDP - EDP Comercial";"Sim";"Média Tensão";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-05-26T23:30:02.0Z"
"EVR-00016";"EVR-00016-1";"Semirrápido";"Disponível";"Évora";"Ecorkhotel Évora";"VEI - Veimonte – Comércio de Veículos de Montemor, Lda";"Sim";"Média Tensão";"€0,5/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-26T06:44:06.26Z"
"EVR-00016";"EVR-00016-2";"Semirrápido";"Disponível";"Évora";"Ecorkhotel Évora";"VEI - Veimonte – Comércio de Veículos de Montemor, Lda";"Sim";"Média Tensão";"€0,5/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-26T06:44:06.26Z"
"EVR-00017";"EVR-00017-01";"Rápido";"Disponível";"Évora";"Rua Horta das Figueiras";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-28T10:19:58.758Z"
"EVR-00017";"EVR-00017-03";"Rápido";"Disponível";"Évora";"Rua Horta das Figueiras";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-28T10:19:58.758Z"
"EVR-00017";"EVR-00017-02";"Rápido";"Disponível";"Évora";"Rua Horta das Figueiras";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"CCS";"CABLE";"50";"Disponível";"2023-05-28T10:19:58.758Z"
"EVR-00018";"EVR-00018-01";"Rápido";"Disponível";"Évora";"Avenida Túlio Espanca";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-27T18:03:20.937Z"
"EVR-00018";"EVR-00018-03";"Rápido";"Disponível";"Évora";"Avenida Túlio Espanca";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-27T18:03:20.937Z"
"EVR-00018";"EVR-00018-02";"Rápido";"Disponível";"Évora";"Avenida Túlio Espanca";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-27T18:03:20.937Z"
"EVR-00019";"EVR-00019-02";"Semirrápido";"Disponível";"Évora";"Rua Dionísio de Aires Moleiro";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,035/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-28T04:57:44.46Z"
"EVR-00019";"EVR-00019-01";"Semirrápido";"Disponível";"Évora";"Rua Dionísio de Aires Moleiro";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,035/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-28T04:57:44.46Z"
"EVR-00021";"EVR-00021-01";"Rápido";"Disponível";"Évora";"R. da Quinta da Alcântara";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-28T10:01:46.964Z"
"EVR-00021";"EVR-00021-02";"Rápido";"Disponível";"Évora";"R. da Quinta da Alcântara";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-28T10:01:46.964Z"
"EVR-00021";"EVR-00021-03";"Rápido";"Disponível";"Évora";"R. da Quinta da Alcântara";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-05-28T10:01:46.964Z"
"EVR-00022";"EVR-00022-01";"Ultrarrápido";"Disponível";"Évora";"RUA DA BARBA RALA N1-A";"MOO - MOON-POWER";"Não";"Média Tensão";"€0,296/charge ";"€0,2/min ";"";"CCS";"CABLE";"300";"Disponível";"2023-05-27T14:08:12.333Z"
"EVR-00022";"EVR-00022-03";"Ultrarrápido";"Disponível";"Évora";"RUA DA BARBA RALA N1-A";"MOO - MOON-POWER";"Não";"Média Tensão";"€0,296/charge ";"€0,2/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-27T14:08:12.333Z"
"EVR-00022";"EVR-00022-02";"Ultrarrápido";"Disponível";"Évora";"RUA DA BARBA RALA N1-A";"MOO - MOON-POWER";"Não";"Média Tensão";"€0,296/charge ";"€0,2/min ";"";"CCS";"CABLE";"300";"Disponível";"2023-05-27T14:08:12.333Z"
"EVR-00023";"EVR-00023-02";"Semirrápido";"Disponível";"Évora";"Évora Hotel - Av. Túlio Espanca";"VEI - Veimonte – Comércio de Veículos de Montemor, Lda";"Não";"Média Tensão";"€0,3/charge ";"€0,03/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-05-27T18:21:46.59Z"
"EVR-00023";"EVR-00023-01";"Semirrápido";"Disponível";"Évora";"Évora Hotel - Av. Túlio Espanca";"VEI - Veimonte – Comércio de Veículos de Montemor, Lda";"Não";"Média Tensão";"€0,3/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-27T18:21:46.59Z"
"EVR-00024";"EVR-00024-02";"Semirrápido";"Disponível";"Évora";"Everybody Fitness - Rua Luís Adelino Fonseca";"VEI - Veimonte – Comércio de Veículos de Montemor, Lda";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,03/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-05-27T18:19:02.392Z"
"EVR-00024";"EVR-00024-01";"Semirrápido";"Disponível";"Évora";"Everybody Fitness - Rua Luís Adelino Fonseca";"VEI - Veimonte – Comércio de Veículos de Montemor, Lda";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-27T18:19:02.392Z"
"EVR-00026";"EVR-00026-1";"Rápido";"Disponível";"Évora";"RUA DA BARBA RALA N1-A";"MOO - MOON-POWER";"Não";"Média Tensão";"€0,296/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-27T11:16:42.141Z"
"EVR-00029";"EVR-00029-02";"Rápido";"Disponível";"Évora";"R. Bento de Jesus Caraça 1";"KLC - Atlante";"Não";"Média Tensão";"€0,11/min ";"";"";"CCS";"CABLE";"50";"Disponível";"2023-05-28T10:37:50.007Z"
"EVR-00029";"EVR-00029-01";"Rápido";"Disponível";"Évora";"R. Bento de Jesus Caraça 1";"KLC - Atlante";"Não";"Média Tensão";"€0,11/min ";"";"";"Mennekes";"CABLE";"22";"Disponível";"2023-05-28T10:37:50.007Z"
"EVR-00029";"EVR-00029-03";"Rápido";"Disponível";"Évora";"R. Bento de Jesus Caraça 1";"KLC - Atlante";"Não";"Média Tensão";"€0,11/min ";"";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-28T10:37:50.007Z"
"EVR-90001";"EVR-90001-2";"Normal";"Disponível";"Évora";"Praça Porta da Lagoa";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-28T10:31:12.384Z"
"EVR-90001";"EVR-90001-1";"Normal";"Disponível";"Évora";"Praça Porta da Lagoa";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-28T10:31:12.384Z"
"EVR-90002";"EVR-90002-1";"Normal";"Disponível";"Évora";"Praça Joaquim António de Aguiar";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-28T10:26:59.017Z"
"EVR-90002";"EVR-90002-2";"Normal";"Disponível";"Évora";"Praça Joaquim António de Aguiar";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-28T10:26:59.017Z"
"EVR-90003";"EVR-90003-1";"Normal";"Disponível";"Évora";"Rua Cardeal Rei";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Em uso";"2023-05-28T10:31:52.837Z"
"EVR-90003";"EVR-90003-2";"Normal";"Disponível";"Évora";"Rua Cardeal Rei";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-28T10:31:52.837Z"
