"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"LRA-00014";"LRA-00014-2";"Rápido";"Disponível";"Leiria";"Rua da Maceira";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,297/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-11T18:27:00.755Z"
"LRA-00014";"LRA-00014-3";"Rápido";"Disponível";"Leiria";"Rua da Maceira";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,297/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-11T18:27:00.755Z"
"LRA-00014";"LRA-00014-1";"Rápido";"Disponível";"Leiria";"Rua da Maceira";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,297/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T18:27:00.755Z"
"LRA-00015";"LRA-00015-02";"Semirrápido";"Disponível";"Leiria";"Makro Leiria";"GLP - Galp";"Não";"Média Tensão";"€0,2608/charge ";"€0,019/min ";"";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-05-11T10:49:46.127Z"
"LRA-00015";"LRA-00015-01";"Semirrápido";"Disponível";"Leiria";"Makro Leiria";"GLP - Galp";"Não";"Média Tensão";"€0,2608/charge ";"€0,019/min ";"";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-05-11T10:49:46.127Z"
"LRA-00016";"LRA-00016-01";"Rápido";"Disponível";"Leiria";"Avenida da Comunidade Europeia";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"CHAdeMO";"CABLE";"50";"Em uso";"2023-05-11T17:42:20.855Z"
"LRA-00016";"LRA-00016-02";"Rápido";"Disponível";"Leiria";"Avenida da Comunidade Europeia";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-11T17:42:20.855Z"
"LRA-00016";"LRA-00016-03";"Rápido";"Disponível";"Leiria";"Avenida da Comunidade Europeia";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-11T17:42:20.855Z"
"LRA-00017";"LRA-00017-02";"Semirrápido";"Disponível";"Leiria";"Praça Goa Damão e Diu";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T16:21:08.176Z"
"LRA-00017";"LRA-00017-01";"Semirrápido";"Disponível";"Leiria";"Praça Goa Damão e Diu";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T16:21:08.176Z"
"LRA-00018";"LRA-00018-01";"Rápido";"Disponível";"Leiria";"Rua dos Parceiros";"IBD - Iberdrola";"Não";"Média Tensão";"€0,26/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T17:04:39.065Z"
"LRA-00018";"LRA-00018-03";"Rápido";"Disponível";"Leiria";"Rua dos Parceiros";"IBD - Iberdrola";"Não";"Média Tensão";"€0,26/charge ";"€0,1/min ";"";"Mennekes";"SOCKET";"43";"Disponível";"2023-05-11T17:04:39.065Z"
"LRA-00018";"LRA-00018-02";"Rápido";"Disponível";"Leiria";"Rua dos Parceiros";"IBD - Iberdrola";"Não";"Média Tensão";"€0,26/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-11T17:04:39.065Z"
"LRA-00021";"LRA-00021-03";"Rápido";"Disponível";"Leiria";"Rua Vale de Lobos";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-11T16:18:41.027Z"
"LRA-00021";"LRA-00021-01";"Rápido";"Disponível";"Leiria";"Rua Vale de Lobos";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T16:18:41.027Z"
"LRA-00021";"LRA-00021-02";"Rápido";"Disponível";"Leiria";"Rua Vale de Lobos";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"CCS";"CABLE";"50";"Disponível";"2023-05-11T16:18:41.027Z"
"LRA-00022";"LRA-00022-01";"Semirrápido";"Disponível";"Leiria";"Rua do Pisão";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,035/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T10:54:33.369Z"
"LRA-00022";"LRA-00022-02";"Semirrápido";"Disponível";"Leiria";"Rua do Pisão";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,035/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T10:54:33.369Z"
"LRA-00023";"LRA-00023-02";"Semirrápido";"Disponível";"Leiria";"Rua do Pisão";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,035/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T10:54:37.105Z"
"LRA-00023";"LRA-00023-01";"Semirrápido";"Disponível";"Leiria";"Rua do Pisão";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,035/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T10:54:37.105Z"
"LRA-00024";"LRA-00024-02";"Semirrápido";"Disponível";"Leiria";"Rua da Cooperativa";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,035/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T03:49:42.011Z"
"LRA-00024";"LRA-00024-01";"Semirrápido";"Disponível";"Leiria";"Rua da Cooperativa";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,035/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T03:49:42.011Z"
"LRA-00027";"LRA-00027-1";"Semirrápido";"Disponível";"Leiria";"Largo Salgueiro Maia";"MAK - Maksu";"Não";"Média Tensão";"€0,03/min ";"";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T16:58:20.116Z"
"LRA-00028";"LRA-00028-1";"Ultrarrápido";"Disponível";"Leiria";"Área de Serviço CEPSA A1 Leiria S-N";"ION - IONITY";"Não";"Média Tensão";"€0,5121/kWh ";"";"";"CCS";"CABLE";"350";"Disponível";"2023-05-11T18:41:25.972Z"
